mol_name,activity,potency
CHEMBL3260809,Active,6.920818753952375
CHEMBL3220093,Active,6.701146924
CHEMBL1688253,Active,5.638272163982406
CHEMBL3220100,Active,5.721246399047171
CHEMBL5208463,Active,7.0
CHEMBL3649961,Active,7.86966623
CHEMBL380178,Active,5.443697499232712
CHEMBL3797816,Active,5.028770552723759
CHEMBL3291220,Active,6.040958607678906
CHEMBL4102664,Active,7.279014255846261
CHEMBL3693974,Active,7.26003230324049
CHEMBL1689398,Active,8.207608310501746
CHEMBL3663854,Active,6.0
CHEMBL3928363,Active,6.411168274405792
CHEMBL3657073,Active,6.54637593
CHEMBL3649868,Active,7.652669984683049
CHEMBL3986151,Active,7.0
CHEMBL3691780,Active,5.962972120244225
CHEMBL3649966,Active,8.045757490560675
CHEMBL3233136,Active,8.397940008672037
CHEMBL3657041,Active,9.113509274827518
CHEMBL3945674,Active,7.971971276399756
CHEMBL3968578,Active,8.698970004336019
CHEMBL3687261,Active,8.356547323513812
CHEMBL3798014,Active,6.399027104313252
CHEMBL3665593,Active,7.013217072721244
CHEMBL3650059,Active,6.220403508742176
CHEMBL3220098,Active,6.7447274948966935
CHEMBL3647064,Active,8.698970004336019
CHEMBL3649932,Active,9.0
CHEMBL3125520,Active,10.0
CHEMBL3704543,Active,6.0
CHEMBL3139629,Active,5.638272163982406
CHEMBL3654193,Active,7.275724130399211
CHEMBL3797705,Active,5.111034655699663
CHEMBL3703352,Active,8.157390760389438
CHEMBL3691779,Active,10.013228265733755
CHEMBL3703327,Active,7.847711655616943
CHEMBL3657005,Active,9.886056647693163
CHEMBL4170975,Active,5.9788106999999995
CHEMBL3687299,Active,8.49485002
CHEMBL3649862,Active,9.0
CHEMBL3800181,Active,6.161780778092374
CHEMBL3656977,Active,8.869666231504993
CHEMBL4563607,Active,7.924453038607469
CHEMBL2381405,Active,5.050609993
CHEMBL2386345,Active,7.585026652029182
CHEMBL3653194,Active,9.721246399047171
CHEMBL3649934,Active,8.698970004336019
CHEMBL3601316,Active,8.075720713938118
CHEMBL3657104,Active,5.972650392225243
CHEMBL3797879,Active,5.703115524461452
CHEMBL3654185,Active,9.0
CHEMBL4064867,Active,8.346787486224656
CHEMBL3687305,Active,8.07572071
CHEMBL3649920,Active,6.87942607
CHEMBL3966472,Active,8.698970004336019
CHEMBL3657082,Active,6.3797806351311275
CHEMBL3951089,Active,8.301029995663981
CHEMBL3220088,Active,6.958607314841775
CHEMBL3649869,Active,9.0
CHEMBL3798706,Active,6.476253533188435
CHEMBL3687268,Active,9.154901959985743
CHEMBL3691707,Active,7.97061622231479
CHEMBL3236363,Active,8.886056647693163
CHEMBL3657090,Active,7.291579099865287
CHEMBL3657047,Active,9.67778070526608
CHEMBL3653266,Active,9.2518119729938
CHEMBL3125527,Active,8.52420433
CHEMBL3649925,Active,8.070581074285707
CHEMBL3653281,Active,8.421360790031928
CHEMBL3986603,Active,8.235077015350111
CHEMBL3653246,Active,8.958607314841775
CHEMBL3407569,Active,9.869666231504993
CHEMBL3649872,Active,9.0
CHEMBL3649876,Active,7.3872161432802645
CHEMBL3649891,Active,9.0
CHEMBL3653271,Active,10.045757490560675
CHEMBL3288451,Active,7.619788758288394
CHEMBL3236662,Active,8.183758700008218
CHEMBL3663876,Active,6.0
CHEMBL3691776,Active,9.476253533188435
CHEMBL4174805,Active,6.958607314841775
CHEMBL2398478,Active,7.954677021213342
CHEMBL3657111,Active,9.199970640755867
CHEMBL3318782,Active,10.05551732784983
CHEMBL3687273,Active,8.568636235841012
CHEMBL3657120,Active,9.09151498112135
CHEMBL3687311,Active,8.638272163982407
CHEMBL3691764,Active,9.79317412396815
CHEMBL3683165,Active,7.457174573
CHEMBL5171373,Active,8.200659450546418
CHEMBL5205792,Active,8.795880017344075
CHEMBL3647054,Active,8.698970004336019
CHEMBL3355420,Active,6.229884705212898
CHEMBL3653245,Active,10.397940008672037
CHEMBL2386347,Active,7.337242168318426
CHEMBL3687249,Active,8.67778070526608
CHEMBL3649864,Active,6.452225294612178
CHEMBL3653162,Active,9.602059991
CHEMBL3260818,Active,8.221848749616356
CHEMBL2402734,Active,7.698970004336019
CHEMBL3650008,Active,6.795880017344075
CHEMBL3649890,Active,7.853871964321762
CHEMBL3649950,Active,9.0
CHEMBL3288450,Active,7.698970004336019
CHEMBL3286447,Active,6.443697499232712
CHEMBL3687250,Active,6.259479413946335
CHEMBL3649858,Active,8.522878745280337
CHEMBL3683179,Active,8.366531544420413
CHEMBL4763522,Active,7.242603971
CHEMBL4741500,Active,6.31695296
CHEMBL3653182,Active,9.585026652
CHEMBL3125701,Active,10.0
CHEMBL3649956,Active,8.0
CHEMBL3653175,Active,9.823908740944319
CHEMBL3912867,Active,5.045757490560675
CHEMBL548572,Active,5.130768280269023
CHEMBL3687300,Active,7.844663962534938
CHEMBL3650020,Active,8.397940008672037
CHEMBL1688263,Active,5.602059991327962
CHEMBL3691786,Active,9.424812155072338
CHEMBL3665594,Active,6.98205935
CHEMBL3657004,Active,7.151810883008602
CHEMBL3965113,Active,8.0
CHEMBL3649948,Active,8.522878745280337
CHEMBL3654190,Active,6.889410289700751
CHEMBL3653174,Active,9.853871964321762
CHEMBL3656983,Active,9.494850021680094
CHEMBL3125710,Active,9.154901959985743
CHEMBL3657027,Active,9.267606240177031
CHEMBL3654191,Active,9.0
CHEMBL3647055,Active,8.134698573897456
CHEMBL3653177,Active,9.920818753952375
CHEMBL3657055,Active,7.667561540084394
CHEMBL4281146,Active,5.939302159646388
CHEMBL3653228,Active,8.991399828
CHEMBL3977757,Active,8.522878745280337
CHEMBL3699943,Active,7.528708288941061
CHEMBL3649960,Active,8.096910013008056
CHEMBL3691766,Active,7.062281556382736
CHEMBL3265101,Active,6.853871964321762
CHEMBL4100233,Active,7.853871964321762
CHEMBL3288447,Active,6.772113295386326
CHEMBL3687264,Active,7.920818754
CHEMBL3691782,Active,9.415668775632469
CHEMBL4167230,Active,6.511449283499555
CHEMBL3657035,Active,10.045757490560675
CHEMBL3649933,Active,8.522878745280337
CHEMBL3691749,Active,9.617982957425133
CHEMBL4285505,Active,5.602059991327962
